JID,Composition,Spg.numb.,Spg.symb.,Cryst.,Dimensionality,OPT SCF gap, MBJ gap,n-Seebeck,p-Seebeck,n-powerfact,p-powerfact,n-cond,p-cond,n-ZT,p-ZT,Avg.elec.mass,Avg.hole mass,n-mp-Seeb,p-mp-Seeb
JVASP-10250,Tl4SiS4,9,Cc,monoclinic,3D,1.9957,2.6236,-253.54163,312.2750467,1376.883668,909.371972,21331.50033,10021.14313,0.646993434,0.503018125,1.447769652,1.447769652,-255.9189,242.33369
JVASP-10251,K2SO3,164,P-3m1,trigonal,3D,5.1157,7.2824,-320.0106967,413.46202,991.1254076,422.1802123,9676.8188,2457.277367,0.552492644,0.249285309,1.722384798,1.722384798,-384.95412,429.4669967
JVASP-10252,ZnO2,205,Pa3,cubic,3D,2.3794,3.7595,-387.66589,351.45087,2871.327919,2071.043868,19105.905,16767.181,1.514792093,1.018928363,1.266327999,1.266327999,-413.95305,335.27038
JVASP-10253,AsS2NF6,12,C2/m,monoclinic,0D,2.4437,2.6842,-427.5527133,389.8454833,1128.711956,722.8840906,6436.332463,5328.423087,0.642034859,0.412331159,12.88359682,12.88359682,-432.1213033,404.40721
JVASP-10254,BaNd2PdO5,127,P4/mbm,tetragonal,3D,2.3394,na,-392.73767,462.74303,677.3097839,1234.716461,4295.743533,5720.048033,0.401095943,0.712252529,4.105556165,4.105556165,-388.87531,460.31068
JVASP-10255,BaSm2PdO5,127,P4/mbm,tetragonal,3D,2.2407,2.2101,-386.6831,437.9051667,759.4122016,1313.390282,4745.603167,6807.571833,0.444391962,0.749228093,4.196641795,4.196641795,-384.4393833,450.5162633
JVASP-10256,Na3AlAs2,72,Ibam,orthorhombic,3D,1.0185,na,-98.90392867,340.7008533,1159.990845,2175.065179,112795.4103,18198.05943,0.244346502,1.086235528,0.143136489,0.143136489,-82.23050567,330.12998
JVASP-10258,RbAgO,139,I4/mmm,tetragonal,3D,1.5812,2.5089,-213.9071033,326.1901367,1654.587679,600.520183,39382.08767,4964.249338,0.637401763,0.339479405,1.991608402,1.991608402,-164.6724867,327.4082967
JVASP-10259,Li6UO6,148,R-3,trigonal,3D,2.3063,na,-408.7468233,433.05553,25.67183999,1151.005523,153.5766033,6151.192633,0.015402387,0.666524627,86.2901758,86.2901758,-404.89608,439.0221733
JVASP-10260,Li8PtO6,148,R-3,trigonal,3D,2.2448,na,-410.14829,391.2052867,752.4044107,989.297305,4474.415533,6460.594667,0.442134499,0.569845576,4.196749463,4.196749463,-409.4820667,407.81699
JVASP-10261,Li8CeO6,148,R-3,trigonal,3D,2.7126,2.4547,-505.2121867,433.7808633,9.309817799,589.6573781,44.46711733,3111.2253,0.005583873,0.347523355,3450.693583,3450.693583,-540.3864733,429.7034833
JVASP-10262,NbBO4,141,I4_1/amd,tetragonal,3D,2.5673,3.0129,-430.0295233,332.5933467,1090.893241,1329.803759,5876.047167,12438.04633,0.623617261,0.705201701,5.087151487,5.087151487,-417.1307167,339.2060233
JVASP-10263,K2Sn2O3,199,I2_13,cubic,3D,1.5841,na,-233.29458,86.693335,1783.829082,532.4387632,32775.09367,70843.21233,0.700937001,0.165089216,0.581301535,0.581301535,-306.04606,82.983382
JVASP-10264,SbIrS,198,P2_13,cubic,3D,1.4138,1.6191,-224.44372,288.8219,1299.515489,1751.717325,25796.842,20999.25,0.550135493,0.877309949,0.589749493,0.589749493,-408.44216,293.49458
JVASP-10265,GeTe7As4,164,P-3m1,trigonal,2D,0.0161,na,-256.6981767,196.23671,4298.648604,2068.739345,66117.33,53515.574,1.4008763,0.732892902,0.036408203,0.036408203,-253.4826667,222.06718
JVASP-10267,K5As2Au,194,P6_3/mmc,hexagonal,3D,0.3305,na,-69.45818333,378.7136067,433.2598222,920.3508802,100906.9,6153.6362,0.113065133,0.527471581,0.220345204,0.220345204,-67.03276433,311.45671
JVASP-10270,ScBO3,167,R-3c,trigonal,3D,4.2784,na,-328.3057567,459.5968067,1732.281899,1331.222776,16078.477,6332.782667,0.902224204,0.758964226,1.531283965,1.531283965,-347.8792667,452.2439967
